,Wednesday,Thursday,Friday,Saturday,Sunday
,30-3-2016,31-3-2016,1-4-2016,2-4-2016,3-4-2016
08:00,,,,,
08:30,,,,,
09:00,,,,,
09:30,,,,,
10:00,,RIPS,Speech recog,Follow & Guide,
10:30,,,Speech recog,Follow & Guide,
11:00,,,Speech recog,,
11:30,,,,,
12:00,,Person Recog,,Open,Finals
12:30,,Person Recog,,Open,Finals
13:00,,Person Recog,Navigation,,Finals
13:30,,,Navigation,,
14:00,,,Navigation,Restaurant,
14:30,,,,Restaurant,
15:00,,,,Restaurant,
15:30,,,,,
16:00,,Manip + obj,GPSR,EEGPSR,
16:30,,Manip + obj,GPSR,EEGPSR,
17:00,,,GPSR,EEGPSR,
17:30,,,,EEGPSR,
18:00,,,,,
18:30,,,,,
19:00,,,,,
19:30,Team leaders,Teamleaders,Team leaders,Team Leaders,
20:00,Reception,,,,
20:30,Reception,,,,
21:00,,,,,
21:30,,,,,
22:00,,,,,
22:30,,,,,
